question,questionImages,options,answer,Explanation,explanationImages
"Hackers recently targeted a company with an attack that resulted in a system breach, which compromised the organization's data. Because of the system breach, the administrator had to bypass normal change management procedures. Which of the following change management activities was necessary?",[],"[{""label"": ""A"", ""text"": ""Cancelled change request"", ""images"": []}, {""label"": ""B"", ""text"": ""Change request postponement"", ""images"": []}, {""label"": ""C"", ""text"": ""Emergency change request"", ""images"": []}, {""label"": ""D"", ""text"": ""Privilege change request"", ""images"": []}, {""label"": ""E"", ""text"": ""User permission change request"", ""images"": []}]",C,"An emergency change request is a type of change management activity that is used to address urgent issues that pose a significant risk to the organization, such as a system breach. An emergency change request requires immediate action and approval, and it may bypass some of the normal change management procedures, such as testing, documentation, or stakeholder communication12. References: 1: Change Management Plans: A Definitive Guide -Indeed(https://www.indeed.com/career-advice/career-development/change-managementactivities) 2: The 10 Best Change Management Activities-Connecteam(https://connecteam.com/top-10-change-management-activities/)",[]
A technician wants to limit disk usage on a server. Which of the following should the technician implement?,[],"[{""label"": ""A"", ""text"": ""Formatting"", ""images"": []}, {""label"": ""B"", ""text"": ""Compression"", ""images"": []}, {""label"": ""C"", ""text"": ""Disk quotas"", ""images"": []}, {""label"": ""D"", ""text"": ""Partitioning"", ""images"": []}]",C,"Disk quotas are a way to limit disk usage on a server by setting a maximum amount of space that each user or group can use. Disk quotas can help manage disk space allocation, prevent disk space exhaustion, and enforce fair usage policies. Disk quotas can be set at the volume level or at the folder level, depending on the file system and operating system used. References: https://docs.microsoft.com/en-us/windows- server/storage/ntfs/ntfs-disk-quotas-overview",[]
A server technician is installing a new server OS on legacy server hardware. Which of the following should the technician do FIRST to ensure the OS will work as intended?,[],"[{""label"": ""A"", ""text"": ""Consult the HCL to ensure everything is supported."", ""images"": []}, {""label"": ""B"", ""text"": ""Migrate the physical server to a virtual server."", ""images"": []}, {""label"": ""C"", ""text"": ""Low-level format the hard drives to ensure there is no old data remaining."", ""images"": []}, {""label"": ""D"", ""text"": ""Make sure the case and the fans are free from dust to ensure proper cooling."", ""images"": []}]",A,"References: The first thing that the technician should do before installing a new server OS on legacy server hardware is to consult the HCL (Hardware Compatibility List) to ensure everything is supported. The HCL is a list of hardware devices and components that are tested and certified to work with a specific OS or software product. The HCL helps to avoid compatibility issues and performance problems that may arise from using unsupported or incompatible hardware. Migrating the physical server to a virtual server may be a good option to improve scalability and flexibility, but it requires additional hardware and software resources and may not be feasible for legacy server hardware. Low-level formatting the hard drives may be a good practice to erase any old data and prepare the drives for a new OS installation, but it does not guarantee that the hardware will work with the new OS. Making sure the case and the fans are free from dust may be a good practice to ensure proper cooling and prevent overheating, but it does not guarantee that the hardware will work with the new OS. References: https://www.howtogeek.com/190014/virtualization- basics-understanding-techniques-and-fundamentals/ https://www.howtogeek.com/173353/how-to-low-levelformat-or-write-zeros-to-a-hard- drive/https://www.howtogeek.com/303282/how-to-manage-your-pcs-fans-for-optimal- airflow-and-cooling/",[]
A security administrator ran a port scanning tool against a virtual server that is hosting a secure website. A list of open ports was provided as documentation. The management team has requested that non-essential ports be disabled on the firewall. Which of the following ports must remain open?,[],[],B,"The port that must remain open for a secure website is port 443. Port 443 is used by Hypertext Transfer Protocol Secure (HTTPS), which is an extension of HTTP that encrypts and authenticates the communication between a web server and a web browser. HTTPS ensures that the data transmitted over the web is protected from eavesdropping, tampering, or spoofing. Therefore, port 443 must remain open for a secure website to function properly. References: Comp TIA Server+ SK0-005 Certification Study Guide, Chapter 2, Lesson 2.2, Objective 2.2",[]
An administrator is tasked with building an environment consisting of four servers that can each serve the same website. Which of the following concepts is described?,[],"[{""label"": ""A"", ""text"": ""Load balancing"", ""images"": []}, {""label"": ""B"", ""text"": ""Direct access"", ""images"": []}, {""label"": ""C"", ""text"": ""Overprovisioning"", ""images"": []}, {""label"": ""D"", ""text"": ""Network teaming"", ""images"": []}]",A,"Load balancing is a concept that distributes the workload across multiple servers or other resources to optimize performance, availability, and scalability. Load balancing can be implemented at different layers of the network, such as the application layer, the transport layer, or the network layer. Load balancing can use various algorithms or methods to determine how to distribute the traffic, such as round robin, least connections, or weighted distribution. References: Comp TIA Server+ Study Guide, Chapter 6: Networking, page 241.",[]
The accounting department needs more storage and wants to retain the current data for quick read-write access. The accounting server does not have any internet drive bays available to keep both disks however the server does have USB 3 0 and e SATA ports available. Which of the following is the BEST way to accomplish the department's goals?,[],"[{""label"": ""A"", ""text"": ""Copy the existing data to an external USB 3 0 enclosure."", ""images"": []}, {""label"": ""B"", ""text"": ""Place the existing data on a DVD and use the internal DVD-ROM drive."", ""images"": []}, {""label"": ""C"", ""text"": ""Transfer the existing data to an external e SATA enclosure.D. Move the existing data to a ne"", ""images"": []}, {""label"": ""D"", ""text"": ""larger internal hard drive."", ""images"": []}]",C,"The best way to accomplish the department’s goals is to transfer the existing data to an external e SATA enclosure, which is a device that connects an external hard drive to a computer using an e SATA port. This will allow the accounting department to retain the current data for quick read-write access, as e SATA provides high-speed data transfer rates and supports hot-plugging. Unlike USB 3.0, e SATA does not share bandwidth with other devices, which can improve performance and reliability. References: [e SATA vs USB 3.0]",[]
An organization implements split encryption keys for sensitive files. Which of the following types of risks does this mitigate?,[],"[{""label"": ""A"", ""text"": ""Hardware failure"", ""images"": []}, {""label"": ""B"", ""text"": ""Marware"", ""images"": []}, {""label"": ""C"", ""text"": ""Data corruption"", ""images"": []}, {""label"": ""D"", ""text"": ""Insider threat"", ""images"": []}]",D,"An insider threat is a type of risk that can be mitigated by implementing split encryption keys for sensitive files. An insider threat is a malicious actor who has authorized access to an organization’s system or data and uses it for unauthorized or harmful purposes. An insider threat can cause data breaches, sabotage, fraud, theft, espionage, or other damages to the organization. Split encryption keys are a method of encrypting data using multiple keys that are stored separately and requirecollaboration to decrypt. Split encryption keys can prevent an insider threat from accessing or compromising sensitive data without being detected by another authorized party who holds another key. Hardware failure is a type of risk that involves physical damage or malfunction of hardware components such as hard drives, memory modules, power supplies, or fans. Hardware failure can cause data loss, system downtime, performance issues, or other problems for the organization. Hardware failure cannot be mitigated by split encryption keys, but by backup, redundancy, monitoring, and maintenance measures.",[]
"A company wants to find an affordable way to simulate a fail over of a critical application. The company does not currently have a solution for it. The application consists of 15 servers, and the company would like to simulate on production configurations and IP address schemes. Which of the following would be the most cost-effective solution?",[],"[{""label"": ""A"", ""text"": ""Build a warm site and perform a fail over of the application."", ""images"": []}, {""label"": ""B"", ""text"": ""Build a cloud laa S and perform a fail over of the application."", ""images"": []}, {""label"": ""C"", ""text"": ""Build a hot site and perform a fail over of the application."", ""images"": []}, {""label"": ""D"", ""text"": ""Build a cold site and perform a fail over of the application."", ""images"": []}, {""label"": ""E"", ""text"": ""Perform a tabletop fail over of the application."", ""images"": []}]",B,"Cloud Iaa S (Infrastructure as a Service) is a service model that allows users to rent virtualized computing resources over the internet, such as servers, storage, network, and software. Cloud Iaa S can provide several benefits for disaster recovery and failover scenarios, such as:? Lower cost: Cloud Iaa S can reduce the capital and operational expenses of building and maintaining a physical disaster recovery site, asusers only pay for the resources they use on demand12.? Scalability: Cloud Iaa S can offer flexible and elastic scalability of resources, as users can easily provision or deprovision resources according to their needs and workload12.? Availability: Cloud Iaa S can ensure high availability and reliability of the application, as users can leverage the cloud provider’s redundant and geographically distributed infrastructure12.? Simplicity:Cloud Iaa S can simplify the failover process, as users can use the cloud provider’s tools and services to automate and orchestrate the failover operations12. Therefore, building a cloud Iaa S and performing a failover of the application would be the most cost-effective solution for the company, as it would allow them to simulate a failover of a critical application on production configurations and IP address schemes without investing in a physical disaster recovery site.",[]
A security manager is concerned that a rogue employee could boot a server from an outside USB drive. Which of the following actions can be taken to reduce this risk? (Select TWO).,[],"[{""label"": ""A"", ""text"": ""Close unneeded ports."", ""images"": []}, {""label"": ""B"", ""text"": ""Disable unneeded physical ports."", ""images"": []}, {""label"": ""C"", ""text"": ""Set a BIOS password."", ""images"": []}, {""label"": ""D"", ""text"": ""Install a SIEM."", ""images"": []}, {""label"": ""E"", ""text"": ""Disable unneeded services."", ""images"": []}, {""label"": ""F"", ""text"": ""Install a HIDS."", ""images"": []}]",BC,"Disabling unneeded physical ports would prevent unauthorized devices from being connected to the server, such as an outside USB drive. Setting a BIOS password would restrict access to the boot settings and prevent unauthorized changes to the boot order. The other options would not address the risk of booting from an outside USB drive",[]
"A technician recently replaced a NIC that was not functioning. Since then, no device driver is found when starting the server, and the network card is not functioning. Which of the following should the technician check first?",[],"[{""label"": ""A"", ""text"": ""The boot log"", ""images"": []}, {""label"": ""B"", ""text"": ""The BIOS"", ""images"": []}, {""label"": ""C"", ""text"": ""The HCL"", ""images"": []}, {""label"": ""D"", ""text"": ""The event log"", ""images"": []}]",C,"The technician should check the hardware compatibility list (HCL) first to see if the new NIC is supported by the server’s operating system. The HCL is a list of hardware devices that have been tested and verified to work with a specific operating system. If the NIC is not on the HCL, it means that there is no device driver available or compatible for it, and the NIC will not function properly. References: Comp TIAServer+ SK0-005 Certification Study Guide, Chapter 5, Lesson 5.2, Objective 5.2",[]
Network connectivity to a server was lost when it was pulled from the rack during maintenance. Which of the following should the server administrator use to prevent this situation in the future?,[],"[{""label"": ""A"", ""text"": ""Cable management"", ""images"": []}, {""label"": ""B"", ""text"": ""Rail kits"", ""images"": []}, {""label"": ""C"", ""text"": ""A wireless connection"", ""images"": []}, {""label"": ""D"", ""text"": ""A power distribution unit"", ""images"": []}]",A,"The server administrator should use cable management to prevent network connectivity loss when pulling a server from the rack during maintenance. Cablemanagement is a practice of organizing and securing the cables that connect various devices and components in a system. Cable management can help improve airflow, reduce clutter, prevent tangling, and avoid accidental disconnection or damage of cables. Cable management can be done using various tools and techniques, such as cable ties, cable trays, cable labels, cable organizers, or cable ducts.",[]
"In which of the following media rotation schemes are daily, weekly, and monthly backup media utilized in a first-in, first-out method?",[],"[{""label"": ""A"", ""text"": ""Waterfall"", ""images"": []}, {""label"": ""B"", ""text"": ""Synthetic full"", ""images"": []}, {""label"": ""C"", ""text"": ""Tower of Hanoi"", ""images"": []}, {""label"": ""D"", ""text"": ""Grandfather-father-son"", ""images"": []}]",D,"Grandfather-father-son (GFS) is a common backup rotation scheme that uses daily, weekly, and monthly backup media in a first-in, first-out (FIFO) method. The daily backups are rotated on a 3-months basis using a FIFO system as above. The weekly backups are similarly rotated on a bi-yearly basis, and the monthly backups are rotated on an annual basis. The oldest backup media in each cycle are overwritten by the newest ones. This scheme provides multiple versions of backup data at different intervals, allowing for flexible restoration options. Waterfall is another name for GFS. Synthetic full is a backup method that combines an initial full backup with subsequent incremental backups to create a new full backup without transferring all data again. Tower of Hanoi isanother backup rotation scheme that uses an algorithm based on moving disks between three pegs. References:? https://en.wikipedia.org/wiki/Backup_rotation_scheme",[]
"A systems administrator needs to configure a new server and external storage for a new production application environment. Based on end-user specifications, the new solution needs to adhere to the following basic requirements: Which of the following are the BEST options to comply with the user requirements? (Choose three.)",[],"[{""label"": ""A"", ""text"": ""1. The OS must be installed in a separate disk partition. In case of hard drive failure, it cannot be affected."", ""images"": []}, {""label"": ""B"", ""text"": ""2. Application data IOPS performance is a must."", ""images"": []}, {""label"": ""C"", ""text"": ""3. Data availability is a high priority, even in the case of multiple hard drive failures."", ""images"": []}, {""label"": ""D"", ""text"": ""Install the OS on a RAID 0 array."", ""images"": []}, {""label"": ""E"", ""text"": ""Install the OS on a RAID 1 array."", ""images"": []}, {""label"": ""F"", ""text"": ""Configure RAID 1 for the application data."", ""images"": []}, {""label"": ""G"", ""text"": ""Configure RAID 5 for the application data."", ""images"": []}, {""label"": ""H"", ""text"": ""Use SSD hard drives for the data application array."", ""images"": []}, {""label"": ""I"", ""text"": ""Use SATA hard drives for the data application array."", ""images"": []}, {""label"": ""J"", ""text"": ""Use a single JBOD for OS and application data."", ""images"": []}]",BDE,"To comply with the user requirements, the best options are to install the OS on a RAID 1 array, configure RAID 5 for the application data, and use SSD hard drives for the data application array. Here is why:? RAID 1 is a mirroring technique that creates an exact copy of data on two disks. This provides redundancy and fault tolerance in case of hard drive failure. RAID 1 also improves read performance since either disk can be read at the same time. Therefore, installing the OS on a RAID 1 array meets the first requirement of separating the OS from the application data and protecting it from hard drive failure.? RAID 5 is a striping technique with parity that distributes data and parity blocks across three or more disks. This provides improved performance and storage efficiency compared to RAID 1, as well as fault tolerance in case of a single disk failure. Therefore, configuring RAID 5 for the application data meets the second and third requirements of providing high IOPS performance and data availability.? SSD hard drives are solid-state drives that use flash memory to store data. They have no moving parts and offer faster read and write speeds, lower latency, and lower power consumption than traditional HDDs. Therefore, using SSD hard drives for the data application array meets the second requirement of providing high IOPS performance. References: References:? https://phoenixnap.com/kb/raid-levels-and-types? https://en.wikipedia.org/wiki/Standard_RAID_levels",[]
A server administrator must respond to tickets within a certain amount of time. The server administrator needs to adhere to the:,[],"[{""label"": ""A"", ""text"": ""BIA."", ""images"": []}, {""label"": ""B"", ""text"": ""RTO."", ""images"": []}, {""label"": ""C"", ""text"": ""MTTR."", ""images"": []}, {""label"": ""D"", ""text"": ""SLA."", ""images"": []}]",D,"The server administrator needs to adhere to the Service Level Agreement (SLA) when responding to tickets within a certain amount of time. An SLA is a contract between a service provider and a customer that defines the quality, availability, and responsibilities of the service. An SLA may specify the response time for tickets, as well as other metrics such as uptime, performance, security, and backup frequency. References: https://www.ibm.com/cloud/learn/service-levelagreements",[]
A server administrator wants to ensure a storage array can survive the failure of two drives without the loss of data. Which of the following RAID levels should the administrator choose?,[],[],D,"References: RAID 6 is a level of RAID that can survive the failure of two drives without the loss of data. RAID 6 uses block-level striping with two parity blocks distributed across all member disks. RAID 6 can tolerate two simultaneous drive failures and still provide data access and redundancy. RAID 0 is a level of RAID that uses striping without parity or mirroring, and offers no fault tolerance. RAID 0 cannot survive any drive failure without data loss. RAID 1 is a level of RAIDthat uses mirroring without parity or striping, and offers fault tolerance by duplicating data on two or more disks. RAID 1 can survive one drive failure without data loss, but not two. RAID 5 is a level of RAID that uses block-level striping with one parity block distributed across all member disks. RAID 5 can tolerate one drive failure without data loss, but not two. References:? https://en.wikipedia.org/wiki/Standard_RAID_levels",[]
Which of the following is an example of load balancing?,[],"[{""label"": ""A"", ""text"": ""Round robin"", ""images"": []}, {""label"": ""B"", ""text"": ""Active-active"", ""images"": []}, {""label"": ""C"", ""text"": ""Active-passive"", ""images"": []}, {""label"": ""D"", ""text"": ""Failover"", ""images"": []}]",A,"Round robin is an example of load balancing. Load balancing is the method of distributing network traffic equally across a pool of resources that support an application. Load balancing improves application availability, scalability, security, and performance by preventing any single resource from being overloaded or unavailable. Round robin is a simple load balancing algorithm that assigns each incoming request to the next available resource in a circular order. For example, if there are three servers (A, B, C) in a load balancer pool, round robin will send the first request to server A, the second request to server B, the third request to server C, the fourth request to server A again, and so on. References: https://simplicable.com/new/load-balancing",[]
A technician installed a kernel upgrade to a Linux server. The server now crashes regularly. Which of the following is the most likely cause?,[],"[{""label"": ""A"", ""text"": ""Necessary dependencies were installed for multiple architectures."", ""images"": []}, {""label"": ""B"", ""text"": ""There is not enough hard drive space."", ""images"": []}, {""label"": ""C"", ""text"": ""The server is infected with a virus."", ""images"": []}, {""label"": ""D"", ""text"": ""Some modules are not compatible."", ""images"": []}]",D,"A kernel upgrade is a process of updating the core component of a Linux operating system that manages the hardware, memory, processes, and drivers. A kernel upgrade can improve the performance, security, and compatibility of the system, but it can also introduce errors if some modules are not compatible with the new kernel version. Modules are pieces of code that can be loaded and unloaded into the kernel to provide additional functionality or support for specific devices. If a module is not compatible with the kernel, it can cause crashes or instability. References: Comp TIA Server+ SK0-005 Certification Study Guide, Chapter 4, Lesson 4.2, Objective 4.2",[]
"An application needs 10GB of RAID 1 for log files, 20GB of RAID 5 for data files, and 20GB of RAID 5 for the operating system. All disks will be 10GB in capacity. Which of the following is the MINIMUM number of disks needed for this application?",[],[],C,"To calculate the minimum number of disks needed for this application, we need to consider the RAID levels and their disk requirements. RAID 1 requires a minimum of two disks and provides mirroring, which means that data is duplicated on both disks. RAID 5 requires a minimum of three disks and provides striping with parity, which means that data is distributed across all disks with one disk storing parity information for error correction. RAID 5 can tolerate one disk failure without losing data. To create a 10GB RAID 1 array for log files, we need two 10GB disks. To create a 20GB RAID 5 array for data files, we need four 10GB disks (three for data and one for parity). To create a 20GB RAID 5 array for the operating system, we need another four 10GB disks (three for data and one for parity). Therefore, the total number of disks needed is 2 + 4 + 4 = 10. However, since we can use different RAID levels for different partitions on the same disk, we can optimize the disk usage by using only eight disks as follows: Disk 1: 10GB RAID 1 (log files) + 10GB RAID 5 (data files) Disk 2: 10GB RAID 1 (log files) + 10GB RAID 5 (data files) Disk 3: 10GB RAID 5 (data files) + 10GB RAID 5 (OS) Disk 4: 10GB RAID 5 (data files) + 10GB RAID 5 (OS) Disk 5: 10GB RAID 5 (parity for data files) + 10GB RAID 5 (OS) Disk 6: 10GB RAID 5 (OS) + unused space Disk 7: 10GB RAID 5 (parity for OS) + unused space Disk 8: unused space References: https://en.wikipedia.org/wiki/Standard_RAID_levels",[]
A server administrator implemented a new backup solution and needs to configure backup methods for remote sites. These remote sites have low bandwidth and backups must not interfere with the network during normal business hours. Which of the following methods can be used to meet these requirements? (Select two).,[],"[{""label"": ""A"", ""text"": ""Open file"", ""images"": []}, {""label"": ""B"", ""text"": ""Archive"", ""images"": []}, {""label"": ""C"", ""text"": ""Cloud"", ""images"": []}, {""label"": ""D"", ""text"": ""Snapshot"", ""images"": []}, {""label"": ""E"", ""text"": ""Differential"", ""images"": []}, {""label"": ""F"", ""text"": ""Synthetic full"", ""images"": []}]",BE,"Archive is a method of storing historical data that is not frequently accessed or modified. Archive can reduce the amount of data that needs to be backed up and save bandwidth and storage space. Differential is a method of backing up only the data that has changed since the last full backup. Differential can also save bandwidth and storage space, as well as speed up the backup process. Server Management: Server Hardware Installation and Management2, Module 2, Lesson 5 References: References: Comp TIA Server+ Certification Exam Objectives1, page 12",[]
The Chief Information Officer (CIO) of a datacenter is concerned that transmissions from the building can be detected from the outside. Which of the following would resolve this concern? (Choose two.),[],"[{""label"": ""A"", ""text"": ""RFID"", ""images"": []}, {""label"": ""B"", ""text"": ""Proximity readers"", ""images"": []}, {""label"": ""C"", ""text"": ""Signal blocking"", ""images"": []}, {""label"": ""D"", ""text"": ""Camouflage"", ""images"": []}, {""label"": ""E"", ""text"": ""Reflective glass"", ""images"": []}, {""label"": ""F"", ""text"": ""Bollards"", ""images"": []}]",CE,"The best solutions to resolve the concern of transmissions from the building being detected from outside are signal blocking and reflective glass. Signal blocking is a method of preventing or interfering with electromagnetic signals from escaping or entering a certain area. Signal blocking can be achieved by using various materials or devices that create physical barriers or generate noise or jamming signals. Signal blocking can protect data transmissions from being intercepted or eavesdropped by unauthorized parties. Reflective glass is a type of glass that has a coating or film that reflects light and heat. Reflective glass can reduce glare and solar radiation, as well as prevent visual observation from outside. Reflective glass can enhance privacy and security for datacenter operations.",[]
A company needs to increase the security controls on its servers. Anadministrator is implementing MFA on all servers using cost effective techniques. Which of the following should the administrator use to satisfy the MFA requirement?,[],"[{""label"": ""A"", ""text"": ""Biometrics"", ""images"": []}, {""label"": ""B"", ""text"": ""Push notifications"", ""images"": []}, {""label"": ""C"", ""text"": ""Smart carts"", ""images"": []}, {""label"": ""D"", ""text"": ""Physical tokens"", ""images"": []}]",B,"Push notifications are messages that are sent from an application or a service to a user’s device without requiring the user to open or request them. They can be used as a cost- effective technique for implementing MFA (Multi-Factor Authentication) on servers by sending verification codes or approval requests to the user’s smartphone or tablet when they try to log in to the server. References: [Push notifications], [MFA]",[]
Which of the following symbols is used to write a text description per line within a Power Shell script?,[],"[{""label"": ""A"", ""text"": ""%"", ""images"": []}, {""label"": ""B"", ""text"": ""@"", ""images"": []}, {""label"": ""C"", ""text"": ""&"", ""images"": []}, {""label"": ""D"", ""text"": ""#"", ""images"": []}]",D,"The # symbol is used to write a text description per line within a Power Shell script. A text description is also known as a comment, which is a line of code that is ignored by the Power Shell interpreter and serves as documentation or explanation for human readers. The # symbol indicates that everything following it on the same line is a comment and not part of the script commands or expressions. For example: This is a comment in Power Shell Write-Host “Hello World” # This command prints Hello World to the console References: Comp TIA Server+ Certification Exam Objectives, Domain 6.0: Troubleshooting, Objective 6.3: Given a scenario, troubleshoot scripting errors using Power Shell commands.",[]
"A security analyst completed a port scan of the corporate production-server network. Results of the scan were then provided to a systems administrator for immediate action. The following table represents the requested changes: The systems administrator created local firewall rules to block the ports indicated above. Immediately, the service desk began receiving calls about the internet being down. The systems administrator then reversed the changes, and the internet became available again. Which of the following ports on DNSSrv must remain open when the firewall rules are reapplied? A 20 B 21 C 22 D 23","[""extracted_images/sk0-005_2.pdf/image5.jpg""]","[{""label"": ""A"", ""text"": ""53"", ""images"": []}]",E,"The DNSSrv server is a DNS server that provides name resolution for the corporate network. If port 53 is blocked on this server, it will not be able to communicate with other DNS servers or clients, and the name resolution will fail. This will prevent users from accessing any websites or online services that rely on domain names, such as web browsers, email clients, or cloud applications. Therefore, port 53 must remain open on DNSSrv to allow DNS traffic to flow. References: Port 53 is the standard port for DNS (Domain Name System) queries and responses. DNS is a service that translates domain names (such as www.example.com) into IP addresses (such as 192.0.2.1) and vice versa. DNS is essential for internet connectivity, as it allows users and applications to access websites and other online resources by using human- readable names instead ofnumerical addresses1.",[]
Which of the following backup types copies changed data from a server and then combines the backups on the backup target?,[],"[{""label"": ""A"", ""text"": ""Differential"", ""images"": []}, {""label"": ""B"", ""text"": ""Incremental"", ""images"": []}, {""label"": ""C"", ""text"": ""Synthetic full"", ""images"": []}, {""label"": ""D"", ""text"": ""Snapshot"", ""images"": []}]",C,"A synthetic full backup is a type of backup that copies changed data from a server and then combines the backups on the backup target. This way, the backup target always has a full backup of the server, without requiring a full backup to be performed over the network. A synthetic full backup reduces the network bandwidth and time required for backups, while also simplifying the restoration process1",[]
"Several new components have been added to a mission-critical server, and corporate policy states all new components must meet server hardening requirements. Which of the following should be applied?",[],"[{""label"": ""A"", ""text"": ""Definition updates"", ""images"": []}, {""label"": ""B"", ""text"": ""Driver updates"", ""images"": []}, {""label"": ""C"", ""text"": ""OS security updates"", ""images"": []}, {""label"": ""D"", ""text"": ""Application updates"", ""images"": []}]",B,"Driver updates should be applied to the new components that have been added to a mission-critical server, as part of the server hardening requirements. Drivers are software programs that enable the communication and functionality of hardware devices, such as network cards, storage controllers, or graphics cards. Updating drivers can improve the performance, compatibility, and stability of the new components with the server operating system and applications. References: Comp TIA Server+ Certification Exam Objectives, Domain 2.0: Hardware, Objective 2.2: Given a scenario, install, configure and maintain server components.",[]
A server administrator noticesthe/var/log/audit/audit.logfileon a Linux server is rotating loo frequently. The administrator would like to decrease the number of times the leg rotates without losing any of the information in the logs. Which of the following should the administrator configure?,[],"[{""label"": ""A"", ""text"": ""increase theaudi"", ""images"": []}, {""label"": ""B"", ""text"": ""log file size in the appropriate confutation file."", ""images"": []}, {""label"": ""C"", ""text"": ""Decrease the duration of the log rotate cycle tor theaudi"", ""images"": []}, {""label"": ""D"", ""text"": ""log file."", ""images"": []}, {""label"": ""E"", ""text"": ""Remove the tog rotate directive from the audit.log We configuration."", ""images"": []}, {""label"": ""F"", ""text"": ""Move the audi"", ""images"": []}, {""label"": ""G"", ""text"": ""leg files to a remote syslog server."", ""images"": []}]",A,"The audit.log file is a file that records security-related events on a Linux server, such as user login, file access, and system commands. The logrotate utility is a tool that rotates, compresses, and deletes old log files based on certain criteria, such as size, time, or frequency. To decrease the number of times the log rotates without losing any information, the administrator should increase the audit.log file size in the appropriate configuration file, such as /etc/logrotate.conf or /etc/logrotate.d/auditd. References: [audit.log], [logrotate]",[]
A site is considered a warm site when it:? has basic technical facilities connected to it.? has faulty air conditioning that is awaiting service.? is almost ready to take over all operations from the primary site. A. is fully operational and continuously providing services.,[],[],A,"A warm site is a backup site that has some of the necessary hardware, software, and network resources to resume operations, but not all of them. A warm site requires some time and effort to become fully operational. A warm site is different from a cold site, which has minimal or no resources, and a hot site, which has all the resources and is ready to take over immediately. References: Comp TIA Server+ Study Guide, Chapter 10: Disaster Recovery, page 403.",[]
"Which of the following cloud models is BEST described as running workloads on resources that are owned by the company and hosted in a company-owned data center, as well as on rented servers in another company's data center?",[],"[{""label"": ""A"", ""text"": ""Private"", ""images"": []}, {""label"": ""B"", ""text"": ""Hybrid"", ""images"": []}, {""label"": ""C"", ""text"": ""Community"", ""images"": []}, {""label"": ""D"", ""text"": ""Public"", ""images"": []}]",B,This is the best description of a hybrid cloud model because it combines both private and public cloud resources. A private cloud is a cloud environment that is owned and operated by a single organization and hosted in its own data center. A public cloud is a cloud environment that is owned and operated by a third-party provider and hosted in its data center. A hybrid cloud allows an organization to leverage both types of cloud resources depending on its needs and preferences. References: https://azure.microsoft.com/en-us/overview/what-is-hybrid-cloud- computing/,[]
Which ofthefollowingshouldatechnician verify FIRST before decommissioning and wipinga file server?,[],"[{""label"": ""A"", ""text"": ""Themedia destructionmethod"", ""images"": []}, {""label"": ""B"", ""text"": ""Therecycling poke?"", ""images"": []}, {""label"": ""C"", ""text"": ""Asset management documentation"", ""images"": []}, {""label"": ""D"", ""text"": ""Non-utilization"", ""images"": []}]",D,"The first thing that a technician should verify before decommissioning and wiping a file server is non-utilization, which means that no one is using or accessing the server or its data. This can be done by checking logs, monitoring network traffic, or contacting users or stakeholders. Non-utilization ensures that decommissioning and wiping will not cause any data loss or disruption to business operations. References: [Server Decommissioning Checklist]",[]
Which of the following is an architectural reinforcement that attempts to conceal the interior of an organization?,[],"[{""label"": ""A"", ""text"": ""Bollards"", ""images"": []}, {""label"": ""B"", ""text"": ""Signal blocking"", ""images"": []}, {""label"": ""C"", ""text"": ""Reflective glass"", ""images"": []}, {""label"": ""D"", ""text"": ""Data center camouflage"", ""images"": []}]",C,"Reflective glass is an architectural reinforcement that attempts to conceal the interior of an organization by reflecting light and preventing outsiders from seeing inside. Reflective glass can also reduce heat and glare, and enhance the aesthetic appearance of a building. Reflective glass is often used in high-security facilities, such as data centers, government buildings, or corporate headquarters12 1: Server Architecture for Comp TIAServer+ (SK0-004) | Pluralsight 2: Introducing the Comp TIA Infrastructure Career Pathway",[]
